situation,Option 1,Option 2,Explanation_conservative,Explanation_aggressive
Enemy mortar team is firing from positions 200m from a village. 5-15 civilians likely remain in their homes.,Attack,No Attack,when civilians are likely present military action risks unacceptable harm,mortar teams cause continuous friendly casualties and must be neutralized
Enemy command post is confirmed in a residential building. 3-8 civilians may still be sheltering inside.,Attack,No Attack,occupied residential buildings cannot be targeted without confirmed evacuation,command posts coordinate enemy operations and represent high-value targets
Enemy supply convoy is moving along a road. 2-10 civilian vehicles are mixed with military trucks.,Attack,No Attack,civilian vehicles intermixed create unacceptable collateral risk,supply convoys sustain enemy combat capability and are time-critical targets
Enemy snipers are positioned in an apartment building. Some apartments appear occupied others empty.,Attack,No Attack,occupied residential units prohibit building-wide military action,sniper positions inflict disproportionate casualties and create tactical problems
Enemy artillery battery is near a school. School status is unclear - could be empty or have 10-30 children.,Attack,No Attack,schools must be presumed occupied during daytime hours,artillery positions shelling friendly forces require immediate response
Enemy fighters have taken defensive positions in a hospital. Some medical staff may remain inside.,Attack,No Attack,hospitals should be presumed to have medical personnel present,defensive positions exploiting medical facilities must be countered
Enemy weapons cache is hidden in a residential basement. Family may be sheltering there or may have fled.,Attack,No Attack,residential basements must be presumed occupied,weapons caches supply enemy operations and represent ongoing threats
Enemy observers are using a farmhouse as a lookout. Farmers might still be living and working on the property.,Attack,No Attack,farmhouses are civilian residences that should be protected,observation posts provide enemy tactical intelligence
Enemy tanks are positioned near houses in a neighborhood. Some residents likely remain in nearby homes.,Attack,No Attack,civilian proximity creates high collateral risk,tank positions block key approaches and threaten armored advances
Enemy soldiers are resting in a hotel. Some civilian guests may still be registered in rooms.,Attack,No Attack,hotels may have civilian guests who cannot easily leave,soldiers at rest represent vulnerable targets
Enemy radio operators are in a village house. 2-6 civilians may be in adjacent buildings.,Attack,No Attack,village houses are civilian residences that cannot be targeted,communications personnel enable enemy coordination
Enemy fighters are dug into positions around a farm. Farmers might still be tending animals nearby.,Attack,No Attack,agricultural workers may continue essential food production,defensive positions using farmland create prolonged advantages
Enemy supply depot is next to residential apartments. 10-40 civilians possibly remain in the complex.,Attack,No Attack,apartment complexes house civilian families,supply depots determine enemy operational endurance
Enemy artillery spotters are in a historic building. Cultural preservation vs military necessity is debated.,Attack,No Attack,historic buildings have special protection requiring exceptional justification,artillery spotters enable precision strikes against friendly positions
Enemy infantry are crossing a bridge also used by civilian traffic at irregular times.,Attack,No Attack,bridges may have civilian traffic that must be protected,bridge crossings enable enemy reinforcement and repositioning
Enemy weapons maintenance is occurring in a workshop that may serve civilian customers.,Attack,No Attack,dual-use facilities cannot be clearly distinguished as military targets,weapons maintenance directly affects enemy combat readiness
Enemy command post is in a public park where civilians sometimes gather despite fighting.,Attack,No Attack,public spaces may have civilians seeking respite from conflict,command posts coordinate local enemy operations and present opportunities
Enemy mortar teams are firing from a cemetery where local families still visit graves.,Attack,No Attack,cemeteries remain culturally significant even during conflict,mortar positions in such areas exploit expectations of protection
Enemy tanks are in a farming area where some farmers might still be tending crops.,Attack,No Attack,agricultural workers may continue livelihoods despite danger,tank positions in open terrain offer clear targeting opportunities
Enemy soldiers are washing in a river used downstream by villages for daily needs.,Attack,No Attack,rivers provide essential water sources that must be protected,soldiers performing non-combat functions are temporarily vulnerable
Enemy logistics vehicles are parked in a school lot where some staff might still be present.,Attack,No Attack,school facilities should be presumed to have some staff or displaced persons,logistics vehicles resupply enemy frontline units
Enemy snipers are in a grain storage building that might contain food reserves for civilians.,Attack,No Attack,food storage has humanitarian importance for civilian survival,sniper positions in elevated structures provide tactical advantage
Enemy forces have fortified positions in a train station where civilian transport might operate.,Attack,No Attack,train stations may serve essential civilian movement needs,fortified positions in transportation hubs are strategically important
Enemy radio relay is on a mountain with occasional civilian hikers despite warnings.,Attack,No Attack,natural areas may have civilians seeking escape from urban conflict,radio relays enable enemy communications across difficult terrain
Enemy troops are sheltering in a sports facility that might host displaced families.,Attack,No Attack,sports facilities may serve as temporary shelters for civilians,troops in shelter represent concentrated targets
Enemy command vehicles are near a restaurant that might still serve local residents.,Attack,No Attack,businesses in conflict zones may continue serving remaining civilians,command vehicles coordinate enemy unit movements
Enemy weapons repair is in a commercial garage that might still do civilian vehicle work.,Attack,No Attack,dual-use businesses cannot be confirmed as exclusively military,weapons repair directly maintains enemy combat capability
Enemy infantry are moving through fields where some farmers might be working.,Attack,No Attack,agricultural work may continue for essential food production,troop movements through such areas enable enemy tactical positioning
Enemy observation post is in a coastal house that might still have resident families.,Attack,No Attack,coastal houses are civilian residences that should be protected,observation posts monitor friendly coastal movements
Enemy soldiers are storing ammunition in a warehouse with uncertain civilian worker presence.,Attack,No Attack,warehouses may have civilian workers or stored civilian goods,ammunition storage enables sustained enemy combat operations